VideoName;Activity1;Subject;Scene;CameraSetup;CameraAngle;Duration;Uploaded;Split;chunk_nr_in_video;sample_id_chunk;frame_start;frame_end;video_path_full
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;0;Co_S1K1_fC6.avi_0;0;90;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;1;Co_S1K1_fC6.avi_1;90;180;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;2;Co_S1K1_fC6.avi_2;180;270;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;3;Co_S1K1_fC6.avi_3;270;360;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;4;Co_S1K1_fC6.avi_4;360;450;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;5;Co_S1K1_fC6.avi_5;450;540;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;6;Co_S1K1_fC6.avi_6;540;630;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;7;Co_S1K1_fC6.avi_7;630;720;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;8;Co_S1K1_fC6.avi_8;720;810;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;9;Co_S1K1_fC6.avi_9;810;900;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;10;Co_S1K1_fC6.avi_10;900;990;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;11;Co_S1K1_fC6.avi_11;990;1080;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;12;Co_S1K1_fC6.avi_12;1080;1170;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;13;Co_S1K1_fC6.avi_13;1170;1260;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;14;Co_S1K1_fC6.avi_14;1260;1350;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;15;Co_S1K1_fC6.avi_15;1350;1440;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;16;Co_S1K1_fC6.avi_16;1440;1530;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;17;Co_S1K1_fC6.avi_17;1530;1620;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;18;Co_S1K1_fC6.avi_18;1620;1710;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC6.avi;Cook;S1;Kitchen1;fixed;C6;00:00:59;yes;train;19;Co_S1K1_fC6.avi_19;1710;1781;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC6.avi
Co_S1K1_fC7.avi;Cook;S1;Kitchen1;fixed;C7;00:00:49;yes;train;0;Co_S1K1_fC7.avi_0;0;90;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC7.avi
Co_S1K1_fC7.avi;Cook;S1;Kitchen1;fixed;C7;00:00:49;yes;train;1;Co_S1K1_fC7.avi_1;90;180;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC7.avi
Co_S1K1_fC7.avi;Cook;S1;Kitchen1;fixed;C7;00:00:49;yes;train;2;Co_S1K1_fC7.avi_2;180;270;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC7.avi
Co_S1K1_fC7.avi;Cook;S1;Kitchen1;fixed;C7;00:00:49;yes;train;3;Co_S1K1_fC7.avi_3;270;360;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC7.avi
Co_S1K1_fC7.avi;Cook;S1;Kitchen1;fixed;C7;00:00:49;yes;train;4;Co_S1K1_fC7.avi_4;360;450;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC7.avi
Co_S1K1_fC7.avi;Cook;S1;Kitchen1;fixed;C7;00:00:49;yes;train;5;Co_S1K1_fC7.avi_5;450;540;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC7.avi
Co_S1K1_fC7.avi;Cook;S1;Kitchen1;fixed;C7;00:00:49;yes;train;6;Co_S1K1_fC7.avi_6;540;630;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC7.avi
Co_S1K1_fC7.avi;Cook;S1;Kitchen1;fixed;C7;00:00:49;yes;train;7;Co_S1K1_fC7.avi_7;630;720;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC7.avi
Co_S1K1_fC7.avi;Cook;S1;Kitchen1;fixed;C7;00:00:49;yes;train;8;Co_S1K1_fC7.avi_8;720;810;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC7.avi
Co_S1K1_fC7.avi;Cook;S1;Kitchen1;fixed;C7;00:00:49;yes;train;9;Co_S1K1_fC7.avi_9;810;900;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC7.avi
Co_S1K1_fC7.avi;Cook;S1;Kitchen1;fixed;C7;00:00:49;yes;train;10;Co_S1K1_fC7.avi_10;900;990;/cvhci/data/dschneider/SimsVid/SimsVids/Cook/Co_S1K1_fC7.avi
